Name,Series,Target Value,Selector
Mario Kart Wii,Mario Kart,9,0
Mario Kart DS,Mario Kart,7,0
Mario and Luigi: Bowser's Inside Story,Mario & Luigi,10,0
Mario and Luigi: Dream Team,Mario & Luigi,8,0
Super Mario Sunshine,Mario,10,0
Super Mario Galaxy,Mario,10,0
Super Mario Maker 2,Mario,8,0
Dance Dance Revolution Mario Mix,Mario,7,0
Mario Power Tennis,Mario Sports,5,0
Paper Mario: The Thousand Year Door,Paper Mario,10,0
Super Paper Mario,Paper Mario,10,0
Paper Mario: Sticker Star,Paper Mario,4,0
Paper Mario: Color Splash,Paper Mario,5,0
Mario Party 7,Mario Party,8,0
Mario Party 8,Mario Party,7,0
Yoshi's Island DS,Yoshi,6,0
Yoshi's New Island,Yoshi,6,0
WarioWare D.I.Y.,Wario Ware,8,0
Luigi's Mansion,Luigi's Mansion,10,0
Donkey Kong Country Returns,Donkey Kong,8,0
The Legend of Zelda: Skyward Sword,The Legend of Zelda,8,0
The Legend of Zelda: Breath of the Wild,The Legend of Zelda,10,0
Fire Emblem: Fates - Conquest,Fire Emblem,7,0
Fire Emblem: Fates - Birthright,Fire Emblem,7,0
Kirby Super Star Ultra,Kirby,8,0
Kirby Star Allies,Kirby,5,0
Animal Crossing,Animal Crossing,10,0
Animal Crossing: New Leaf,Animal Crossing,10,0
Super Smash Bros Melee,Super Smash Bros.,10,0
Super Smash Bros Brawl,Super Smash Bros.,10,0
Super Smash Bros 3DS,Super Smash Bros.,7,0
Metroid Prime,Metroid,9,0
Metroid Zero Mission,Metroid,6,0
Star Fox 64,Star Fox,9,0
Punch-Out!!,Punch-Out!!,8,0
Super Punch-Out!!,Punch-Out!!,6,0
Pokémon White,Pokemon,9,0
Pokémon Black 2,Pokemon,9,0
Pokken Tournament,Pokemon,6,0
Pokémon Rumble U,Pokemon,4,0
Pokémon Picross,Pokemon,5,0
Professor Layton and the Last Specter,Professor Layton,8,0
Professor Layton and the Miracle Mask,Professor Layton,7,0
Phoenix Wright: Ace Attorney,Phoenix Wright,9,0
Final Fantasy 7,Final Fantasy,10,0
Final Fantasy 8,Final Fantasy,8,0
Final Fantasy 9,Final Fantasy,8,0
Scribblenauts,Scribblenauts,6,0
Super Scribblenauts,Scribblenauts,8,00
Mega Man 4,Mega Man,8,0
Mega Man 5,Mega Man,7,0
Mega Man X,Mega Man,7,0
Monster Hunter 4 Ultimate,Monster Hunter,9,0
Monster Hunter World,Monster Hunter,8,0
Lego City Undercover: The Chase Begins,Lego,3,0
Lego Battles,Lego,8,0
Lego Worlds,Lego,4,0
You Don't Know Jack,You Don't Know Jack,9,0
The Jackbox Party Pack 5,Jackbox,8,0
The Jackbox Party Pack 6,Jackbox,6,0
Resident Evil 4,Resident Evil,7,0
Resident Evil 5,Resident Evil,5,0
Resident Evil 7 Biohazard,Resident Evil,8,0
Spongebob SquarePants: Battle for Bikini Bottom,SpongeBob,9,0
Bravely Default 2,Bravely Default,8,0
Katamari Forever,Katamari,10,0
Wolfenstein: The New Order,Wolfenstein,9,0
Wolfenstein 3D,Wolfenstein,4,0
Wolfenstein II: The New Colossus,Wolfenstein,5,0
Doom,Doom,7,1
Doom II,Doom,8,0
Plants Vs Zombies,Plants vs. Zombies,8,0
Plants Vs Zombies Garden Warfare,Plants vs. Zombies,7,0
Uncharted: Drake's Fortune,Uncharted,6,0
Uncharted 2: Among Thieves,Uncharted,8,0
Wii Sports Club,Wii Sports,5,0
Little Big Planet,Little Big Planet,8,0
Little Big Planet 2,Little Big Planet,9,0
Just Dance,Just Dance,1,0
Just Dance 2,Just Dance,1,0
Call of Duty 4: Modern Warfare,Call of Duty,7,0
The Witcher,Witcher,6,0
The Witcher 2: Assassins of Kings,Witcher,7,0
Hyrule Warriors: Age of Calamity,Warriors,8,0
Fire Emblem Warriors,Warriors,7,0
F-Zero,F-Zero,7,0
Tetris 99,Tetris,7,0
Tetris,Tetris,8,0
Hotline Miami,Hotline Miami,7,0
Hotline Miami 2: Wrong Number,Hotline Miami,8,0
Limbo,Limbo,6,0
Deadly Premonition,Deadly Premonition,7,0
Age of Empires II: The Age of Kings,Age of Empires,10,0
Astral Chain,None,9,0
The Talos Principle,None,8,0
The Last Guardian,None,7,0
Thimbleweed Park,None,7,0
The End is Nigh,None,4,0
Stanley Parable,None,8,0
Unfortunate Spacemen,None,6,0
Minecraft,None,7,0
Terraria,None,7,0
Among Us,None,0,0
